# R64：从开源数据合并来的药名别名。**手工审过的那批在 core/herbs.py 的
# HERB_ALIASES 里**，这个文件是批量合并来的，冲突时以代码里那份为准。
# 药典分列的品种（南北五味子、川怀牛膝、生熟地黄、生制首乌、川广木香）
# 在生成时就被排除，不在这里出现。
别名	正名	出处
盆硝	芒硝	zhongyao-xuexi-baodian/aliases.js
益明	地肤子	zhongyao-xuexi-baodian/aliases.js
益母蒿	益母草	zhongyao-xuexi-baodian/aliases.js
省头草	佩兰	zhongyao-xuexi-baodian/aliases.js
真檀	檀香	zhongyao-xuexi-baodian/aliases.js
石皮	石韦	zhongyao-xuexi-baodian/aliases.js
石竹	瞿麦	zhongyao-xuexi-baodian/aliases.js
石蟾蜍	防己	zhongyao-xuexi-baodian/aliases.js
石龙藤	络石藤	zhongyao-xuexi-baodian/aliases.js
硬紫草	紫草	zhongyao-xuexi-baodian/aliases.js
神仙对坐草	金钱草	zhongyao-xuexi-baodian/aliases.js
神草	天麻	zhongyao-xuexi-baodian/aliases.js
禹白附	白附子	zhongyao-xuexi-baodian/aliases.js
秦归	当归	zhongyao-xuexi-baodian/aliases.js
秦椒	花椒	zhongyao-xuexi-baodian/aliases.js
秦纠	秦艽	zhongyao-xuexi-baodian/aliases.js
秦胶	秦艽	zhongyao-xuexi-baodian/aliases.js
空翘	连翘	zhongyao-xuexi-baodian/aliases.js
章柳	商陆	zhongyao-xuexi-baodian/aliases.js
童参	太子参	zhongyao-xuexi-baodian/aliases.js
竹皮	竹茹	zhongyao-xuexi-baodian/aliases.js
竹苓	雷丸	zhongyao-xuexi-baodian/aliases.js
笔管子	玉竹	zhongyao-xuexi-baodian/aliases.js
笔管菜	黄精	zhongyao-xuexi-baodian/aliases.js
